L,M,t
2,cheb,0.7006552219390869
2,cheb_intel,1.2085208892822266
2,cheb,1.135329246520996
2,diag,0.10765862464904785
2,eigd,0.020949840545654297
2,eigd,0.13259434700012207
2,eigd_intel,0.4455392360687256
2,nagai,1.1303327083587646
4,cheb,0.8015685081481934
4,cheb_intel,1.1637310981750488
4,cheb,1.1262543201446533
4,diag,0.03260231018066406
4,eigd,0.0027489662170410156
4,eigd,0.013432025909423828
4,eigd_intel,0.04943680763244629
4,nagai,1.142399549484253
6,cheb,1.5138194561004639
6,cheb_intel,1.4788050651550293
6,cheb,1.4471192359924316
6,diag,0.02593517303466797
6,eigd,0.0051116943359375
6,eigd,0.008381366729736328
6,eigd_intel,0.0051305294036865234
6,nagai,1.4432342052459717
8,cheb,3.3670806884765625
8,cheb_intel,1.464287281036377
8,cheb,1.4928762912750244
8,diag,0.02463078498840332
8,eigd,0.01677227020263672
8,eigd,0.029672861099243164
8,eigd_intel,0.09978008270263672
8,nagai,1.483717679977417
10,cheb,7.016606092453003
10,cheb_intel,1.7138268947601318
10,cheb,1.7832849025726318
10,diag,0.06411409378051758
10,eigd,0.04011344909667969
10,eigd,0.07837629318237305
10,eigd_intel,0.036124467849731445
10,nagai,1.7128212451934814
12,cheb,13.620779037475586
12,cheb_intel,1.888171911239624
12,cheb,2.1814351081848145
12,diag,0.12109112739562988
12,eigd,0.07326531410217285
12,eigd,0.0732877254486084
12,eigd_intel,0.04096508026123047
12,nagai,2.0952296257019043
14,cheb,24.97538137435913
14,cheb_intel,2.4125189781188965
14,cheb,2.241757869720459
14,diag,0.20762181282043457
14,eigd,0.12315821647644043
14,eigd,0.13546323776245117
14,eigd_intel,0.06476950645446777
14,nagai,2.1606051921844482
16,cheb,42.85754632949829
16,cheb_intel,2.9467527866363525
16,cheb,3.4214587211608887
16,diag,0.3509030342102051
16,eigd,0.19522404670715332
16,eigd,0.1992185115814209
16,eigd_intel,0.10589218139648438
16,nagai,2.699061870574951
18,cheb,43.05075263977051
18,cheb_intel,3.506490707397461
18,cheb,3.329025983810425
18,diag,0.5391738414764404
18,eigd,0.26542162895202637
18,eigd,0.30641722679138184
18,eigd_intel,0.17961716651916504
18,nagai,3.2095301151275635
20,cheb,43.62615513801575
20,cheb_intel,4.514010906219482
20,cheb,4.635277032852173
20,diag,0.8250913619995117
20,eigd,0.47055864334106445
20,eigd,0.472550630569458
20,eigd_intel,0.26084280014038086
20,nagai,5.270235300064087
22,cheb,44.50747299194336
22,cheb_intel,5.881029367446899
22,cheb,8.022661924362183
22,diag,1.2072484493255615
22,eigd,0.6704442501068115
22,eigd,0.6794424057006836
22,eigd_intel,0.38115978240966797
22,nagai,8.139097452163696
24,cheb,45.15564155578613
24,cheb_intel,7.773178815841675
24,cheb,8.061827898025513
24,diag,1.7772068977355957
24,eigd,0.9719040393829346
24,eigd,1.0289597511291504
24,eigd_intel,1.6113877296447754
24,nagai,7.421206951141357
26,cheb,45.5036187171936
26,cheb_intel,9.724772453308105
26,cheb,13.35823917388916
26,diag,2.4004650115966797
26,eigd,1.2117180824279785
26,eigd,1.2824082374572754
26,eigd_intel,0.934429407119751
26,nagai,13.12414813041687
28,cheb,46.16350340843201
28,cheb_intel,12.870198249816895
28,cheb,17.41420078277588
28,diag,3.3891260623931885
28,eigd,1.795961618423462
28,eigd,2.1795239448547363
28,eigd_intel,1.165940761566162
28,nagai,12.47028136253357
30,cheb,46.54124474525452
30,cheb_intel,18.071817874908447
30,cheb,16.291253328323364
30,diag,4.554293155670166
30,eigd,2.498992443084717
30,eigd,3.017993450164795
30,eigd_intel,1.5081439018249512
30,nagai,16.162396669387817
32,cheb,46.29156970977783
32,cheb_intel,20.052780866622925
32,cheb,20.766698598861694
32,diag,7.352426052093506
32,eigd,4.301187038421631
